Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,980,7653,1,2,2,75
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,680,6617,4,1,1,45
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,630,8888,8,1,1,56
Om Cygnus ,Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150,9086,10,2,2,104
Star Galaxy ,Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1180,7278,8,2,2,85.9
Siddhivinayak Utopia ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1156,9083,5,2,2,105
Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Carpet Area,700,17142,16,2,3,120
Neelkanth Greens ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1100,13636,23,2,2,150
Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390,38461,8,1,1,150
Unnamed Property,Rajan Pada Mumbai,Rajan Pada,5 to 10 Year,Ready To Move,Super Built Up Area,1050,15714,6,2,2,165
Dhoot New Sonali CHS ,Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000,21000,8,2,2,210
Dhoot New Sonali CHS ,Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,894,31208,9,3,3,279
Shapoorji Pallonji Vicinia ,Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1070,34112,16,3,3,365
Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1570,17515,20,2,2,275
Kalpataru Pinnacle ,Goregaon West Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1550,62903,3,3,3,975
Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Carpet Area,400,26250,2,1,2,105
Unnamed Property,107 Shirgaon Mumbai Beyond Thane Mumbai,Shirgaon Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,700,3107,1,1,1,21.8
Unnamed Property,401 Shirgaon Mumbai Beyond Thane Mumbai,Shirgaon Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,660,3106,4,1,1,20.5
Unnamed Property,302 Shirgaon Mumbai Beyond Thane Mumbai,Shirgaon Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,660,3062,3,1,1,20.2
Unnamed Property,003 Shirgaon Mumbai Beyond Thane Mumbai,Shirgaon Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,410,3536,0,1,1,14.5
Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,800,28125,3,2,2,225
Unnamed Property,Mahavir Nagar Mumbai,Mahavir Nagar,10+ Year,Ready To Move,Carpet Area,800,40625,7,3,3,325
Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,379,38284,14,1,2,145
Lodha Casa Ultima ,001 Chirak Nagar Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,840,11428,12,2,2,96
Anchorage Apartment ,Bandra West Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,641,53198,6,2,2,341
Unnamed Property,Bandra West Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,1248,54086,3,3,3,675
SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,1047,28175,14,3,3,295
SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,93.45,344569,19,3,3,322
SD Epsilon Tower ,Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,763,29488,37,2,2,225
Unnamed Property,C121 Bhiwandi Mumbai Beyond Thane Mumbai,Bhiwandi,0 to 1 Year,Ready To Move,Built Up Area,1080,7785,21,2,2,55.2
SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1037,31340,44,3,3,325
Tata Amantra ,G0256 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Built Up Area,1530,5773,21,3,3,88.3
Tata Amantra ,F 2156 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Built Up Area,1476,5849,22,3,2,86.3
Sahakar Premier ,301 Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1070,7444,3,2,2,79.7
Strawberry ONYX ,101 Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1015,8137,1,2,2,82.6
Lodha Casa Ultima ,004 Chirak Nagar Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,622,14112,20,1,1,87.8
Puranik City Phase 3 ,000 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,450,13333,8,1,2,60
Unnamed Property,Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,904,20464,20,2,2,185
Laabh Pehla Ghar Shubh Sanket Complex ,000 Ghodbunder Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,411,10462,1,1,1,43
Unnamed Property,Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,1000,19000,16,2,2,190
Rutu Enclave ,000 Anand Nagar Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,411,11192,3,1,1,46
Cosmos Jewels ,000 Anand Nagar Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,700,13142,8,2,2,92
Unnamed Property,601 Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1250,12960,6,2,2,162
Unnamed Property,701 Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1250,13600,7,2,2,170
Unnamed Property,801 Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1150,10869,8,1,2,125
Dharti Ashtavinayak Tower ,604 Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1310,6641,6,2,2,87
Unnamed Property,000 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,450,11777,4,1,2,53
Unique Greens ,000 kavesar Thane Mumbai,Kavesar Thane,1 to 5 Year,Ready To Move,Carpet Area,500,12600,12,1,2,63
Unnamed Property,000 Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,430,12790,15,1,2,55
Unnamed Property,000 Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,425,12705,5,1,2,54
Puraniks Hometown ,000 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,480,11250,2,1,1,54
Shree Sankalp ,000 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Carpet Area,650,14153,6,2,2,92
Neelkanth Gardens ,Neelkanth Gardens Chs Ltd Opp Jain Temple Govandi East Mumbai 400088 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1000,25500,3,2,2,255
Vijaya Heritage ,Vijaya Heritage Road No 11 Central Avenue Road Central Avenue Road Chembur East Mumbai Chembur Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,1450,26551,9,3,3,385
Imperial Heights ,Goregaon West Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1445,23529,24,3,4,340
Platinum Emporius ,500 Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,38.31,352388,5,2,2,135
RC Orchid Apartment ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,700,10285,6,1,1,72
Vihan Sunshine Heights ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,650,13076,10,1,1,85
Avicon Levante ,800 Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,700,8857,8,1,2,62
Pragati Moral Orchid ,400 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,705,7801,4,1,2,55
Priyanka Unite ,200 Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1125,10933,2,2,2,123
Unnamed Property,Hiranandani Meadows Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1500,11333,2,2,2,170
Omkar Alta Monte ,Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,920,24456,10,2,2,225
Unnamed Property,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,677,11078,4,1,1,75
The Park Residences ,Oshiwara Mumbai,Oshiwara Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1115,40358,15,3,3,450
Raheja Acropolis ,Raheja Acropolis Ii Sion Trombay Road Deonar Chembur Mumbai Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1250,22000,3,3,2,275
Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1185,12236,18,2,2,145
RC Orchid Apartment ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1250,9200,10,3,2,115
RC Orchid Apartment ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,9047,3,2,2,95
City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,890,11011,14,2,2,98
Shree Ramtanu Narayan Ellite ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,680,10588,5,1,1,72
Prabhu Shrine ,604 Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,450,12222,6,1,1,55
Unnamed Property,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,430,6976,2,1,2,30
Gami Amar Harmony ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,693,5627,14,1,2,39
Paradise Sai Riverdale ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1115,7354,19,2,2,82
Paradise Sai Riverdale ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690,7101,12,1,2,49
Unnamed Property,Siddheshwar Garden Kolshet Road Near D Mart Dhokali Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,710,16760,11,2,2,119
Terraform Everest World ,Everest World Kolshet Road Dokali Pada Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,890,15955,12,3,2,142
Unnamed Property,Kalpataru Sunrise Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1675,21779,8,3,3,235
Lodha Amara ,Lodha Amara Thane W Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1450,16526,28,3,3,157
Neelsidhi Tower ,Sector 12 Sector 12 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1000,27500,1,3,3,275
Lodha Amara ,Lodha Amara Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,672,14880,12,2,2,100
Runwal Forests ,Near Mangatram Petrol Pump Kanjurmarg West Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1298,23882,24,3,2,310
Godrej The Trees ,Phirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2450,44897,17,4,4,1100
Runwal Forests ,Near Mangatram Petrol Pump Kanjurmarg West Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1298,22342,36,3,2,290
Runwal Forests ,Near Mangatram Petrol Pump Kanjurmarg West Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1298,25038,38,3,3,325
Runwal Forests ,Near Mangatram Petrol Pump Kanjurmarg West Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1298,25346,22,3,3,329
Runwal Forests ,Near Mangtram Petrol Pump Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1135,26431,28,3,2,300
Godrej The Trees ,Pirojshanagar vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,940,36170,13,2,2,340
Godrej The Trees ,Pirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1120,38839,10,3,2,435
Godrej The Trees ,Pirojshah Nagar vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,640,26875,2,1,1,172
Unnamed Property,Kapurbawadi Thane Mumbai,Kapurbawadi Thane,1 to 5 Year,Ready To Move,Built Up Area,740,19189,8,2,2,142
Unnamed Property,Dhokali Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,744,18951,8,2,2,141
Omkar Empire ,Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1250,8800,9,2,2,110
Unnamed Property,Kolshet Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,940,17234,25,2,4,162
Unnamed Property,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1150,8260,7,2,2,95
Kalpataru Woodsville ,Powai Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1186,20657,1,2,2,245
Kalpataru Woodsville ,Powai Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1905,19947,1,3,3,380
Unnamed Property,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,690,8260,1,1,1,57
Mhalsa Residency ,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1335,10112,8,3,2,135
Kanakia Zen World ,Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,935,26595,2,2,2,200
Mhalsa Residency ,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,8571,12,2,2,90
Dynamic Avenue ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,660,6060,4,1,2,40
Rajesh Residency ,Sector 36 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1075,7441,3,2,2,80
Lodha Luxuria ,Majiwada Thane Mumbai,Majiwada Thane,1 to 5 Year,Ready To Move,Carpet Area,1167,16966,3,3,3,198
Hiranandani Eagleridge ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Built Up Area,1062,16195,25,2,2,172
Lodha Luxuria ,Majiwada Thane Mumbai,Majiwada Thane,1 to 5 Year,Ready To Move,Built Up Area,1690,11834,4,3,3,200
Unnamed Property,Anand Nagar Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Built Up Area,876,10844,6,2,2,95
Unnamed Property,Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Built Up Area,877,8323,5,2,2,73
Unnamed Property,1304 Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,680,16911,14,2,2,115
Hiranandani Castle Rock ,Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1230,26422,12,2,2,325
Gurukrupa Aramus Complex ,1100 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1100,6727,11,1,1,74
Varsha Balaji Darshan ,300 Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1130,9203,3,2,2,104
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1500,15200,13,3,3,228
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1500,15000,11,3,3,225
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1000,9800,22,2,2,98
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1000,9900,7,2,2,99
Lodha Altia ,Wadala Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Super Built Up Area,1057,37617,29,2,2,240
Atlantis ,1801 Panch Pakhadi Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,580,15517,18,1,2,90
SKG Vijayashree ,Chembur Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,1775,21126,2,3,3,375
Sabari Ashiana ,Sabari Aashiana Chs Ltd Deonar Form Road Mumbai 400088 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1600,26562,4,3,3,425
Godrej The Trees ,Off Eastern Express Highway Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1398,31473,12,3,2,440
Luxora Crystal Spires ,Manpada Thane Mumbai,Manpada Thane,0 to 1 Year,Ready To Move,Built Up Area,2500,22067,3,3,3,395
Sheth Auris Ilaria ,2609 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1006,16820,29,2,2,169
Bhoomi Celestia ,Malad West Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2815,24831,20,4,5,699
Bhoomi Celestia ,Malad West Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2279,24129,20,3,3,550
Unnamed Property,1111 Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,680,13235,11,2,2,88
SK Imperial Heights ,Mira Road Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,735,9353,1,1,2,68.8
Strawberry ONYX ,Mira Road East Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,925,8918,1,2,2,82.5
Unnamed Property,888 Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1070,13274,8,2,2,90
Rajesh Presidency ,Sector 3 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1600,8750,5,3,3,140
SK Imperial Heights ,Mira Road Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1075,9279,2,2,2,100
Hiranandani-Estate Brentford ,302 Ghodbunder Road Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,370,22972,3,1,1,85
Umiya Oasis ,Mira Road Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,715,9020,15,1,2,64.5
Sahakar Premier ,Mira Road East Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1075,7674,2,2,2,82.5
Unnamed Property,Mira Road East Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1085,7695,5,2,2,83.5
Janki Legacy ,Ramdev Park Ramdev Park Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,735,8639,5,1,2,63.5
RNA NG Silver Spring ,Mira Road East Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1095,8218,5,2,2,90
Shree Tirupati Riviera ,Siddheshwar Garden Kolshet Road Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1290,14494,7,3,2,129
Kalpataru Sunrise ,Kalpataru Sunrise Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,765,17516,6,2,2,134
Lodha Amara ,Lodha Amara 2bhk Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,672,14583,15,2,2,98
Lodha Amara ,Lodha Amara Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,955,16439,23,3,3,157
Tulsi Aura ,Sector 8 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,635,12598,6,1,2,80
Unnamed Property,Thakur Village Mumbai,Thakur Village,1 to 5 Year,Ready To Move,Carpet Area,1047,31041,20,3,3,325
Kalpataru Sunrise ,Kalpataru Sunrise Kolshet Road Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1190,17931,8,2,2,137
Kalpataru Sunrise ,Kalpataru Sunrise Kolshet Road Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,780,17692,10,2,2,138
Pratik Regalia ,Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,704,6676,6,1,2,47
Kalpataru Sunrise ,Kalpataru Sunrise Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,1089,20569,15,3,3,224
Lodha Sterling ,Lodha Sterling Kolshet Road Thane W Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1350,17647,7,2,2,159
Lodha Amara ,Lodha Amara Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1020,15476,6,2,2,104
Unnamed Property,Godrej Prime Chs Ltd Shell Colony Chembur East Mumbai 71 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1264,18196,9,2,2,230
Godrej Prime ,Godrej Prime Chs Ltd Shell Colony Chembur East Mumbaik 71 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1280,18750,7,3,2,240
Unnamed Property,1002 Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,3385,20679,10,4,4,700
Unnamed Property,1111 Kolshet Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,900,11000,26,2,2,99
Godrej Central ,Godrej Central Chs Ltd Shell Colony Chembur East Mumbai 71 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1440,17361,6,3,2,250
Godrej Central ,Godrej Central Chs Ltd Shell Colony Chembur East Mumbai 71 Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1840,16304,4,3,3,300
Sun Sundaram Tower ,Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1125,8711,9,2,2,98
One Hiranandani Park ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Built Up Area,1957,20950,4,3,3,410
Runwal Eirene ,Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1650,11818,23,3,3,195
Dynamic Avenue ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,620,6129,4,1,1,38
Unnamed Property,0000 Bhaskar Colony Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,738,23712,4,2,2,175
Unnamed Property,Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,725,7862,9,1,1,57
Runwal Forests ,Near Mangtram Petrol Pump Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1280,23437,46,3,3,300
Unnamed Property,Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1200,7000,1,2,2,84
Unnamed Property,0000 Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,5 to 10 Year,Ready To Move,Carpet Area,1450,22413,10,4,4,325
Hiranandani Eagleridge ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,990,24747,3,2,2,245
Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,379,40897,16,1,2,155
Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,379,39577,16,1,2,150
L and T Emerald Isle ,Saki Vihar Road Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1060,25283,14,2,2,268
